Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam
Tên đăng nhập:,tovasa_store
Thời gian tạo báo cáo:,08/06/2022 10:38
Khoảng thời gian,01/05/2022 - 31/05/2022
Sản phẩm,Giày sandal siêu nhân người nhện bé trai dép quai hậu đi học cho bé mềm nhẹ SDA3
Trạng thái:,Đang chạy
Mã Người bán,145598609	
Mã sản phẩm,15449244791	

Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
38	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dép quai hậu dây chun,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
39	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dép lê cho bé 10 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,36.0,0.0,0.0,0.00%,0.00%
40	,sandal bé trai 5 tuôi,thông thường,Từ khóa mở rộng,dép xăng đan bé trai 5 tuổi,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,54.0,0.0,0.0,0.00%,0.00%
41	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Sandal siêu nhẹ bé,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.00%,0.00%
42	,sandal người nhện,thông thường,Từ khóa mở rộng,người nhện siêu nhân trang tri ỏto,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,21.0,0.0,0.0,0.00%,0.00%
43	,sandal bé trai 5 tuôi,thông thường,Từ khóa mở rộng,Dép xỏ ngón cho bé gái,3,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,43.0,0.0,0.0,0.00%,0.00%
44	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,sandal quai hậu bé trai,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.00%,0.00%
45	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,Dép bé trai hình nhân,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.00%,0.00%
46	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,dep sandan cho be,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.00%,0.00%
47	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Dép quai hậu khóa bấm,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.00%,0.00%
48	,sandal siêu nhân bé trai,thông thường,Từ khóa mở rộng,giày sandal bé trai nhẹ,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
49	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,dep nữ quai hạu,1,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.00%,0.00%
50	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,giày quai hậu cho bé,5,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,5.6,0.0,0.0,0.00%,0.00%
51	,dép quai hậu người nhện,thông thường,Từ khóa mở rộng,Giày sandan dior,2,0,0.00%,0,0,0.00%,0.00%,0.0,0.0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.00%,0.00%
