Báo CáoQuảng cáo Tìm Kiếm Sản Phẩm - Shopee Việt Nam,,,,,,,,,,,,,,,,,,,,,,,
Tên đăng nhập:,tovasa_store,,,,,,,,,,,,,,,,,,,,,,
Thời gian tạo báo cáo:,23/05/2022 9:04,,,,,,,,,,,,,,,,,,,,,,
Khoảng thời gian,01/05/2022 - 22/05/2022,,,,,,,,,,,,,,,,,,,,,,
Sản phẩm,Giày cao cổ bé trai bé gái bốt đẹp cho bé KIKNE JDA151,,,,,,,,,,,,,,,,,,,,,,
Trạng thái:,Đang chạy,,,,,,,,,,,,,,,,,,,,,,
Mã Người bán,"145598609	",,,,,,,,,,,,,,,,,,,,,,
Mã sản phẩm,"8780736071	",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Thứ tự,Từ khóa,Trạng thái,Loại từ khóa,Lệnh tìm kiếm,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,Doanh Thu/Chi Phí,ROI trực tiếp,CIR,CIR trực tiếp
"32	",giày thể thao bé gái,thông thường,Từ khóa chính xác,Giày Thể Thao Bé Gái,109,3,2.75%,0,0,0.00%,0.00%,0,0,0,0,0,0,2654,1.52293578,0,0,0.00%,0.00%
"33	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Giày trẻ em,13,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,26.07692308,0,0,0.00%,0.00%
"34	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày thể thao bé,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"35	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giay sneaker cho be,3,1,33.33%,0,0,0.00%,0.00%,0,0,0,0,0,0,468,3,0,0,0.00%,0.00%
"36	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày thể thao hở mũi cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"37	",giày jordan cho bé trai,thông thường,Từ khóa mở rộng,giày jordan cho bé chính  hãng,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"38	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,giày thể thao bé gái 10 tuổi,35,1,2.86%,0,0,0.00%,0.00%,0,0,0,0,0,0,480,7.828571429,0,0,0.00%,0.00%
"39	",giày thể thao bé gái,thông thường,Từ khóa chính xác,Giay the thao bé gái,4,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.75,0,0,0.00%,0.00%
"40	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày   cho bé trai,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,2,0,0,0.00%,0.00%
"41	",giày cao cổ cho bé,thông thường,Từ khóa mở rộng,Giày trắng cho bé,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,3,0,0,0.00%,0.00%
"42	",giày jordan cho bé trai,thông thường,Từ khóa mở rộng,giày jordan cho bé trai 1 tuổi,26,12,46.15%,0,0,0.00%,0.00%,0,0,0,0,0,0,3438,0,0,0,0.00%,0.00%
"43	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày sneaker cho bé trai 2 tuổi,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,33,0,0,0.00%,0.00%
"44	",giày cao cổ bé gái,thông thường,Từ khóa mở rộng,giày slip on cho bé,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,14.5,0,0,0.00%,0.00%
"45	",giày thể thao cho bé trai,thông thường,Từ khóa chính xác,Giày thế thao cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%
"46	",giày cao cổ bé trai,thông thường,Từ khóa mở rộng,Giày cho bé  trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,1,0,0,0.00%,0.00%
"47	",giầy cho bé trai,thông thường,Từ khóa mở rộng,Dép hm bé gái,3,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,9.333333333,0,0,0.00%,0.00%
"48	",giầy cho bé trai,thông thường,Từ khóa mở rộng,giày nhựa cho bé trai,1,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,10,0,0,0.00%,0.00%
